Data,Obra,Etapa,Fornecedor,Tipo,Descrição,Valor,Orçado,Status
27/10/2025,Edifício Solar de Camburi,Fundação,Equipe própria,Mão de obra,Equipe de escavação,"17230,00","18420,00",Pago
29/10/2025,Edifício Solar de Camburi,Fundação,Depósito Praia Grande,Material,Manta asfáltica de baldrame,"22600,00","23980,00",Pago
29/10/2025,Edifício Solar de Camburi,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"27950,00","28120,00",Pago
01/11/2025,Residencial Vista Mar,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"43020,00","36330,00",Pago
01/11/2025,Residencial Vista Mar,Estrutura,Equipe própria,Mão de obra,Equipe de armadores,"42210,00","28840,00",Pago
02/11/2025,Residencial Vista Mar,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"37620,00","36120,00",Pago
02/11/2025,Edifício Solar de Camburi,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"21860,00","21680,00",Pago
03/11/2025,Edifício Solar de Camburi,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"13780,00","15670,00",Pago
05/11/2025,Edifício Solar de Camburi,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"31240,00","31140,00",Pago
07/11/2025,Residencial Vista Mar,Estrutura,Cesan,Indireto,Água do canteiro,"3470,00","2980,00",Pago
09/11/2025,Edifício Solar de Camburi,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"26570,00","28520,00",Pago
09/11/2025,Galpão Logístico Serra,Fundação,EDP Espírito Santo,Indireto,Energia do canteiro,"4940,00","5500,00",Pago
10/11/2025,Galpão Logístico Serra,Fundação,Depósito Praia Grande,Material,Manta asfáltica de baldrame,"20950,00","24280,00",Pago
16/11/2025,Residencial Vista Mar,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"27580,00","19680,00",Pago
17/11/2025,Residencial Vista Mar,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"22190,00","14840,00",Pago
17/11/2025,Residencial Vista Mar,Estrutura,Administração local,Indireto,Administração local do canteiro,"4780,00","4120,00",Pago
17/11/2025,Galpão Logístico Serra,Fundação,Administração local,Indireto,Administração local do canteiro,"5910,00","6130,00",Pago
20/11/2025,Residencial Vista Mar,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"4240,00","3850,00",Pago
21/11/2025,Edifício Solar de Camburi,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"19380,00","16260,00",Pago
21/11/2025,Galpão Logístico Serra,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"24220,00","29290,00",Pago
22/11/2025,Residencial Vista Mar,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"46270,00","32450,00",Pago
23/11/2025,Residencial Vista Mar,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"46420,00","32970,00",Pago
23/11/2025,Galpão Logístico Serra,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"17150,00","19210,00",Pago
25/11/2025,Edifício Solar de Camburi,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"27640,00","27820,00",Pago
28/11/2025,Edifício Solar de Camburi,Estrutura,Cesan,Indireto,Água do canteiro,"4380,00","4020,00",Pago
29/11/2025,Edifício Solar de Camburi,Estrutura,Administração local,Indireto,Administração local do canteiro,"4310,00","4230,00",Pago
30/11/2025,Edifício Solar de Camburi,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"3210,00","3540,00",Pago
01/12/2025,Residencial Vista Mar,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"16890,00","14700,00",Pago
02/12/2025,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"31970,00","33700,00",Pago
03/12/2025,Edifício Solar de Camburi,Estrutura,Cesan,Indireto,Água do canteiro,"2890,00","2660,00",Pago
04/12/2025,Residencial Vista Mar,Estrutura,Cesan,Indireto,Água do canteiro,"4590,00","4660,00",Pago
04/12/2025,Edifício Solar de Camburi,Estrutura,Estruturas Camburi,Subempreiteiro,Empreitada de estrutura,"21110,00","17610,00",Pago
04/12/2025,Galpão Logístico Serra,Fundação,Fundações Serra,Subempreiteiro,Estaqueamento hélice contínua,"19410,00","19470,00",Pago
04/12/2025,Galpão Logístico Serra,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"13200,00","16220,00",Pago
05/12/2025,Residencial Vista Mar,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"28430,00","24260,00",Pago
05/12/2025,Edifício Solar de Camburi,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"21320,00","22300,00",Pago
06/12/2025,Edifício Solar de Camburi,Estrutura,JR Mão de Obra,Mão de obra,Equipe de armadores,"28820,00","25480,00",Pago
07/12/2025,Residencial Vista Mar,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"27320,00","24020,00",Pago
07/12/2025,Residencial Vista Mar,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"25170,00","17500,00",Pago
07/12/2025,Galpão Logístico Serra,Estrutura,Administração local,Indireto,Administração local do canteiro,"3420,00","3970,00",Pago
08/12/2025,Edifício Solar de Camburi,Estrutura,JR Mão de Obra,Mão de obra,Equipe de armadores,"38590,00","36710,00",Pago
08/12/2025,Galpão Logístico Serra,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"28560,00","26020,00",Pago
09/12/2025,Residencial Vista Mar,Estrutura,Equipe própria,Mão de obra,Equipe de armadores,"28080,00","22400,00",Pago
10/12/2025,Residencial Vista Mar,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"31790,00","31330,00",Pago
10/12/2025,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Cimento CP-II,"14430,00","16880,00",Pago
12/12/2025,Residencial Vista Mar,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"20690,00","18010,00",Pago
12/12/2025,Galpão Logístico Serra,Fundação,Fundações Serra,Subempreiteiro,Serviço de sondagem e escavação,"31410,00","29760,00",Pago
13/12/2025,Residencial Vista Mar,Estrutura,Andaimes Vila Velha,Equipamento,Locação de escoramento metálico,"21020,00","17510,00",Pago
14/12/2025,Residencial Vista Mar,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"48380,00","32880,00",Pago
15/12/2025,Galpão Logístico Serra,Estrutura,Cesan,Indireto,Água do canteiro,"3680,00","4290,00",Pago
16/12/2025,Edifício Solar de Camburi,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"40880,00","37200,00",Pago
17/12/2025,Residencial Vista Mar,Alvenaria,Alvenaria Rocha,Subempreiteiro,Serviço de reboco externo,"22700,00","18440,00",Pago
17/12/2025,Edifício Solar de Camburi,Estrutura,Administração local,Indireto,Administração local do canteiro,"2820,00","2690,00",Pago
17/12/2025,Edifício Solar de Camburi,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"3590,00","3760,00",Pago
19/12/2025,Residencial Vista Mar,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"22270,00","20150,00",Pago
20/12/2025,Galpão Logístico Serra,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"15360,00","19510,00",Pago
20/12/2025,Galpão Logístico Serra,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"4390,00","4810,00",Pago
21/12/2025,Edifício Solar de Camburi,Estrutura,Locadora Serra Máquinas,Equipamento,Locação de grua mensal,"16280,00","18890,00",Pago
23/12/2025,Galpão Logístico Serra,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"14260,00","16080,00",Pago
25/12/2025,Galpão Logístico Serra,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"29640,00","27960,00",Pago
27/12/2025,Residencial Vista Mar,Estrutura,Estruturas Camburi,Subempreiteiro,Empreitada de estrutura,"35540,00","29310,00",Pago
27/12/2025,Residencial Vista Mar,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"5900,00","5170,00",Pago
27/12/2025,Edifício Solar de Camburi,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"34230,00","32600,00",Pago
28/12/2025,Residencial Vista Mar,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"26280,00","18070,00",Pago
28/12/2025,Residencial Vista Mar,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"38850,00","35750,00",Pago
28/12/2025,Residencial Vista Mar,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"42640,00","33200,00",Pago
29/12/2025,Residencial Vista Mar,Estrutura,Administração local,Indireto,Administração local do canteiro,"4700,00","4440,00",Pago
29/12/2025,Edifício Solar de Camburi,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"30780,00","35110,00",Pago
29/12/2025,Galpão Logístico Serra,Estrutura,Estruturas Camburi,Subempreiteiro,Empreitada de estrutura,"28720,00","35160,00",Pago
30/12/2025,Edifício Solar de Camburi,Estrutura,JR Mão de Obra,Mão de obra,Equipe de armadores,"35060,00","28810,00",Pago
30/12/2025,Galpão Logístico Serra,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"29610,00","27670,00",Pago
01/01/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"26270,00","31200,00",Pago
02/01/2026,Residencial Vista Mar,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"21050,00","18330,00",Pago
05/01/2026,Residencial Vista Mar,Alvenaria,Alvenaria Rocha,Subempreiteiro,Serviço de reboco externo,"42660,00","35570,00",Pago
06/01/2026,Residencial Vista Mar,Alvenaria,Cerâmica Colatina,Material,Bloco cerâmico 14x19x39,"21270,00","21120,00",Pago
06/01/2026,Residencial Vista Mar,Alvenaria,Administração local,Indireto,Administração local do canteiro,"8510,00","7200,00",Pago
09/01/2026,Edifício Solar de Camburi,Alvenaria,Administração local,Indireto,Administração local do canteiro,"6310,00","6030,00",Pago
13/01/2026,Residencial Vista Mar,Alvenaria,Cerâmica Colatina,Material,Bloco cerâmico 14x19x39,"58910,00","43270,00",Pago
14/01/2026,Edifício Solar de Camburi,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"26360,00","24680,00",Pago
14/01/2026,Galpão Logístico Serra,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"20220,00","24260,00",Pago
15/01/2026,Residencial Vista Mar,Alvenaria,EDP Espírito Santo,Indireto,Energia do canteiro,"7110,00","6790,00",Pago
16/01/2026,Residencial Vista Mar,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"20120,00","17810,00",Pago
16/01/2026,Galpão Logístico Serra,Estrutura,Concreteira Baía Sul,Equipamento,Locação de bomba de concreto,"23890,00","22480,00",Pago
17/01/2026,Galpão Logístico Serra,Alvenaria,Cerâmica Colatina,Material,Bloco cerâmico 14x19x39,"31030,00","36900,00",Pago
18/01/2026,Galpão Logístico Serra,Estrutura,Administração local,Indireto,Administração local do canteiro,"4080,00","4180,00",Pago
19/01/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"36510,00","37080,00",Pago
20/01/2026,Edifício Solar de Camburi,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"19170,00","20510,00",Pago
20/01/2026,Edifício Solar de Camburi,Alvenaria,EDP Espírito Santo,Indireto,Energia do canteiro,"4400,00","4500,00",Pago
21/01/2026,Galpão Logístico Serra,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"37460,00","34010,00",Pago
22/01/2026,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Cimento CP-II,"28850,00","26870,00",Pago
24/01/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"15590,00","15730,00",Pago
25/01/2026,Residencial Vista Mar,Alvenaria,Empreita Souza & Filhos,Mão de obra,Equipe de pedreiros,"42000,00","32560,00",Pago
30/01/2026,Galpão Logístico Serra,Estrutura,Cesan,Indireto,Água do canteiro,"4350,00","4460,00",Pago
31/01/2026,Residencial Vista Mar,Alvenaria,Alvenaria Rocha,Subempreiteiro,Serviço de reboco externo,"36300,00","26380,00",Pago
31/01/2026,Galpão Logístico Serra,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"3440,00","3700,00",Pago
01/02/2026,Condomínio Reserva Verde,Fundação,Equipe própria,Mão de obra,Equipe de escavação,"13650,00","16260,00",Pago
02/02/2026,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"34500,00","35850,00",Pago
03/02/2026,Galpão Logístico Serra,Alvenaria,Cerâmica Colatina,Material,Bloco cerâmico 14x19x39,"14800,00","14550,00",Pago
03/02/2026,Condomínio Reserva Verde,Fundação,Administração local,Indireto,Administração local do canteiro,"5180,00","5270,00",Pago
04/02/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","37440,00","28250,00",Pago
04/02/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,Quadro de distribuição,"31170,00","24890,00",Pago
04/02/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"11860,00","15790,00",Pago
05/02/2026,Residencial Vista Mar,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"14170,00","13060,00",Pago
09/02/2026,Galpão Logístico Serra,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"16770,00","20370,00",Pago
09/02/2026,Galpão Logístico Serra,Alvenaria,Administração local,Indireto,Administração local do canteiro,"6330,00","7000,00",Pago
09/02/2026,Condomínio Reserva Verde,Fundação,Equipe própria,Mão de obra,Equipe de escavação,"30680,00","29670,00",Pago
10/02/2026,Residencial Vista Mar,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"47260,00","34420,00",Pago
10/02/2026,Edifício Solar de Camburi,Alvenaria,Cerâmica Colatina,Material,Bloco cerâmico 14x19x39,"29340,00","31200,00",Pago
11/02/2026,Galpão Logístico Serra,Estrutura,Estruturas Camburi,Subempreiteiro,Empreitada de estrutura,"35730,00","32470,00",Pago
11/02/2026,Galpão Logístico Serra,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"25040,00","30970,00",Pago
11/02/2026,Condomínio Reserva Verde,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"16030,00","14560,00",Pago
12/02/2026,Residencial Vista Mar,Alvenaria,EDP Espírito Santo,Indireto,Energia do canteiro,"7040,00","6280,00",Pago
13/02/2026,Residencial Vista Mar,Alvenaria,Alvenaria Rocha,Subempreiteiro,Serviço de reboco externo,"41830,00","31060,00",Pago
13/02/2026,Edifício Solar de Camburi,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"13070,00","14680,00",Pago
13/02/2026,Edifício Solar de Camburi,Instalações,JR Mão de Obra,Mão de obra,Equipe de encanadores,"35530,00","30830,00",Pago
13/02/2026,Edifício Solar de Camburi,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"18750,00","19130,00",Pago
13/02/2026,Galpão Logístico Serra,Estrutura,Empreita Souza & Filhos,Mão de obra,Equipe de carpintaria,"34930,00","33290,00",Pago
14/02/2026,Condomínio Reserva Verde,Estrutura,Andaimes Vila Velha,Equipamento,Locação de escoramento metálico,"19560,00","23290,00",Pago
15/02/2026,Residencial Vista Mar,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"39440,00","30960,00",Pago
15/02/2026,Condomínio Reserva Verde,Fundação,EDP Espírito Santo,Indireto,Energia do canteiro,"3790,00","4250,00",Pago
16/02/2026,Residencial Vista Mar,Alvenaria,Equipe própria,Mão de obra,Ajudantes de obra,"23340,00","18120,00",Pago
16/02/2026,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Cimento CP-II,"29970,00","31270,00",Pago
17/02/2026,Residencial Vista Mar,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"41380,00","30700,00",Pago
17/02/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"24920,00","25540,00",Pago
17/02/2026,Galpão Logístico Serra,Alvenaria,EDP Espírito Santo,Indireto,Energia do canteiro,"5470,00","6240,00",Pago
18/02/2026,Residencial Vista Mar,Alvenaria,Administração local,Indireto,Administração local do canteiro,"6360,00","6510,00",Pago
18/02/2026,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"33880,00","30350,00",Pago
18/02/2026,Edifício Solar de Camburi,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"20590,00","21940,00",Pago
20/02/2026,Galpão Logístico Serra,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"23320,00","24380,00",Pago
22/02/2026,Galpão Logístico Serra,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"16530,00","21030,00",Pago
22/02/2026,Condomínio Reserva Verde,Fundação,Concreteira Baía Sul,Material,Concreto usinado 25MPa,"33510,00","36680,00",Pago
24/02/2026,Galpão Logístico Serra,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"16190,00","18500,00",Pago
24/02/2026,Galpão Logístico Serra,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"25350,00","28870,00",Pago
26/02/2026,Condomínio Reserva Verde,Estrutura,Estruturas Camburi,Subempreiteiro,Empreitada de estrutura,"26550,00","28960,00",Pago
27/02/2026,Residencial Vista Mar,Alvenaria,Depósito Praia Grande,Material,Cal hidratada e areia,"41570,00","30770,00",Pago
27/02/2026,Edifício Solar de Camburi,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"30020,00","27070,00",Pago
27/02/2026,Edifício Solar de Camburi,Alvenaria,Administração local,Indireto,Administração local do canteiro,"4810,00","5070,00",Pago
28/02/2026,Residencial Vista Mar,Alvenaria,Cerâmica Colatina,Material,Bloco cerâmico 14x19x39,"18990,00","15510,00",Pago
28/02/2026,Edifício Solar de Camburi,Alvenaria,Alvenaria Rocha,Subempreiteiro,Serviço de reboco externo,"26030,00","26590,00",Pago
28/02/2026,Edifício Solar de Camburi,Alvenaria,EDP Espírito Santo,Indireto,Energia do canteiro,"5980,00","5860,00",Pago
01/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,Registro e conexões,"31450,00","28220,00",Pago
02/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","41920,00","29280,00",Pago
02/03/2026,Edifício Solar de Camburi,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"5030,00","4790,00",Pago
02/03/2026,Condomínio Reserva Verde,Estrutura,Estruturas Camburi,Subempreiteiro,Empreitada de estrutura,"33840,00","36350,00",Pago
03/03/2026,Galpão Logístico Serra,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"28540,00","28070,00",Pago
04/03/2026,Residencial Vista Mar,Instalações,Elétrica Camburi,Subempreiteiro,Empreitada elétrica,"26700,00","18880,00",Pago
04/03/2026,Edifício Solar de Camburi,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"36140,00","37330,00",Pago
04/03/2026,Galpão Logístico Serra,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","24750,00","27100,00",Pago
04/03/2026,Condomínio Reserva Verde,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"17060,00","17150,00",Pago
05/03/2026,Edifício Solar de Camburi,Instalações,Administração local,Indireto,Administração local do canteiro,"5230,00","5730,00",Pago
06/03/2026,Galpão Logístico Serra,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"4170,00","4160,00",Pago
07/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,Registro e conexões,"29240,00","25500,00",Pago
08/03/2026,Residencial Vista Mar,Instalações,Vigilância Litoral,Indireto,Vigilância noturna,"7700,00","7100,00",Pago
09/03/2026,Galpão Logístico Serra,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"39250,00","35600,00",Pago
10/03/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,Quadro de distribuição,"36150,00","36030,00",Pago
10/03/2026,Galpão Logístico Serra,Instalações,JR Mão de Obra,Mão de obra,Equipe de eletricistas,"34090,00","34020,00",Pago
10/03/2026,Galpão Logístico Serra,Instalações,Administração local,Indireto,Administração local do canteiro,"4810,00","5290,00",Pago
11/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,Quadro de distribuição,"37440,00","28670,00",Pago
11/03/2026,Residencial Vista Mar,Instalações,JR Mão de Obra,Mão de obra,Equipe de encanadores,"40000,00","31620,00",Pago
11/03/2026,Condomínio Reserva Verde,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"21090,00","22260,00",Pago
11/03/2026,Condomínio Reserva Verde,Estrutura,Vigilância Litoral,Indireto,Vigilância noturna,"2950,00","3240,00",Pago
12/03/2026,Residencial Vista Mar,Instalações,JR Mão de Obra,Mão de obra,Equipe de encanadores,"19310,00","13980,00",Pago
12/03/2026,Condomínio Reserva Verde,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"36040,00","32650,00",Pago
12/03/2026,Condomínio Reserva Verde,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"16250,00","14630,00",Pago
13/03/2026,Edifício Solar de Camburi,Instalações,Hidro Elétrica Norte,Material,Tubulação PVC esgoto,"41420,00","36570,00",Pago
15/03/2026,Residencial Vista Mar,Instalações,Hidro Elétrica Norte,Material,"Cabo flexível 2,5mm","47440,00","36390,00",Pago
16/03/2026,Galpão Logístico Serra,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"19200,00","23420,00",Pago
17/03/2026,Galpão Logístico Serra,Instalações,Depósito Praia Grande,Material,Eletroduto e caixas,"35220,00","35800,00",Pago
17/03/2026,Condomínio Reserva Verde,Alvenaria,Depósito Praia Grande,Material,Argamassa de assentamento,"25370,00","27720,00",Pago
19/03/2026,Condomínio Reserva Verde,Alvenaria,JR Mão de Obra,Mão de obra,Equipe de chapisco e reboco,"13960,00","17720,00",Pago
20/03/2026,Galpão Logístico Serra,Instalações,Hidro Elétrica Norte,Material,Quadro de distribuição,"37860,00","35390,00",Pago
20/03/2026,Condomínio Reserva Verde,Estrutura,Administração local,Indireto,Administração local do canteiro,"3390,00","3790,00",Pago
21/03/2026,Condomínio Reserva Verde,Fundação,Concreteira Baía Sul,Material,Concreto usinado 25MPa,"18590,00","19710,00",Pago
